
                                    #######################################################                                            
                                    #                        PDG data                     #                                            
                                    #      Default File name: data/pdg_hadrons.dat        #                                            
                                    #######################################################                                            


---------------------------------------------------------------------------------------------------------------------------------------
ID     PDGID          Name                isStable  mass(in GeV)  Spin Degeneracy     Baryon number(B)  Charge(Q)  Strangeness(S)      
387    91             N(2220)+            0         2.22          10                  1                 1          0             
388    92             N(2220)0            0         2.22          10                  1                 0          0             
389    -92            N(2220)0b           0         2.22          10                  -1                0          0             
390    -91            N(2220)+b           0         2.22          10                  -1                -1         0             
391    1020000020     DiLambda            0         2.231         1                   2                 0          -2            
392    -1020000020    DiLambdab           0         2.231         1                   -2                0          2             
393    94             N(2250)0            0         2.25          10                  1                 0          0             
394    93             N(2250)+            0         2.25          10                  1                 1          0             
395    -94            N(2250)0b           0         2.25          10                  -1                0          0             
396    -93            N(2250)+b           0         2.25          10                  -1                -1         0             
397    1010010020     LambdaProton        0         2.255         3                   2                 1          -1            
398    -1010010020    LambdaProtonb       0         2.255         3                   -2                -1         1             
399    4122           Lambdac+            0         2.28646       2                   1                 1          0             
400    -4122          Lambdac+b           0         2.28646       2                   -1                -1         0             
401    9060225        f2(2300)            0         2.297         5                   0                 0          0             
402    10431          Ds0*(2317)+         0         2.3178        1                   0                 1          -1            
403    -10431         Ds0*(2317)+b        0         2.3178        1                   0                 -1         1             
404    9010317        K3(2320)0           0         2.324         7                   0                 0          1             
405    9010327        K3(2320)+           0         2.324         7                   0                 1          1             
406    -9010327       K3(2320)+b          0         2.324         7                   0                 -1         -1            
407    -9010317       K3(2320)0b          0         2.324         7                   0                 0          -1            
408    9070225        f2(2340)            0         2.339         5                   0                 0          0             
409    9090225        f2(2340)            0         2.34          5                   0                 0          0             
410    911            Lambda(2350)        0         2.35          10                  1                 0          -1            
411    -911           Lambda(2350)b       0         2.35          10                  -1                0          1             
412    10411          D0*(2400)+          0         2.4           1                   0                 1          0             
413    -10411         D0*(2400)+b         0         2.4           1                   0                 -1         0             
414    98             Delta(2420)+        0         2.42          12                  1                 1          0             
415    99             Delta(2420)0        0         2.42          12                  1                 0          0             
416    910            Delta(2420)-        0         2.42          12                  1                 -1         0             
417    97             Delta(2420)++       0         2.42          12                  1                 2          0             
418    -99            Delta(2420)0b       0         2.42          12                  -1                0          0             
419    -98            Delta(2420)+b       0         2.42          12                  -1                -1         0             
420    -97            Delta(2420)++b      0         2.42          12                  -1                -2         0             
421    -910           Delta(2420)-b       0         2.42          12                  -1                1          0             
422    10423          D1(2420)0           0         2.4223        3                   0                 0          0             
423    10413          D1(2420)+           0         2.4234        3                   0                 1          0             
424    -10413         D1(2420)+b          0         2.4234        3                   0                 -1         0             
425    20423          D1(2430)0           0         2.43          3                   0                 0          0             
426    4212           Sigmac(2455)+       0         2.45292       2                   1                 1          0             
427    4112           Sigmac(2455)0       0         2.45292       2                   1                 0          0             
428    -4212          Sigmac(2455)+b      0         2.45292       2                   -1                -1         0             
429    -4112          Sigmac(2455)0b      0         2.45292       2                   -1                0          0             
430    4222           Sigmac(2455)++      0         2.45402       2                   1                 2          0             
431    -4222          Sigmac(2455)++b     0         2.45402       2                   -1                -2         0             
432    20433          Ds1(2460)+          0         2.4596        3                   0                 1          -1            
433    -20433         Ds1(2460)+b         0         2.4596        3                   0                 -1         1             
434    415            D2*(2460)+          0         2.4601        5                   0                 1          0             
435    -415           D2*(2460)+b         0         2.4601        5                   0                 -1         0             
436    425            D2*(2460)0          0         2.4611        5                   0                 0          0             
437    4232           Xic+                0         2.4679        2                   1                 1          0             
438    -4232          Xic+b               0         2.4679        2                   -1                -1         0             
439    4132           Xic0                0         2.471         2                   1                 0          0             
440    -4132          Xic0b               0         2.471         2                   -1                0          0             
441    9000329        K4(2500)+           0         2.49          9                   0                 1          1             
442    9000319        K4(2500)0           0         2.49          9                   0                 0          1             
443    -9000329       K4(2500)+b          0         2.49          9                   0                 -1         -1            
444    -9000319       K4(2500)0b          0         2.49          9                   0                 0          -1            
445    4214           Sigmac(2520)+       0         2.5175        4                   1                 1          0             
446    -4214          Sigmac(2520)+b      0         2.5175        4                   -1                -1         0             
447    4114           Sigmac(2520)0       0         2.518         4                   1                 0          0             
448    -4114          Sigmac(2520)0b      0         2.518         4                   -1                0          0             
449    4224           Sigmac(2520)++      0         2.5184        4                   1                 2          0             
450    -4224          Sigmac(2520)++b     0         2.5184        4                   -1                -2         0             
451    10433          Ds1(2536)+          0         2.5354        3                   0                 1          -1            
452    -10433         Ds1(2536)+b         0         2.5354        3                   0                 -1         1             
453    435            Ds2(2573)+          0         2.5726        5                   0                 1          -1            
454    -435           Ds2(2573)+b         0         2.5726        5                   0                 -1         1             
455    4322           Xic'+               0         2.5757        2                   1                 1          0             
456    -4322          Xic'+b              0         2.5757        2                   -1                -1         0             
457    4312           Xic'0               0         2.578         2                   1                 0          0             
458    -4312          Xic'0b              0         2.578         2                   -1                0          0             
459    14122          Lambdac(2595)+      0         2.5954        2                   1                 1          0             
460    -14122         Lambdac(2595)+b     0         2.5954        2                   -1                -1         0             
461    96             N(2600)0            0         2.6           12                  1                 0          0             
462    95             N(2600)+            0         2.6           12                  1                 1          0             
463    -96            N(2600)0b           0         2.6           12                  -1                0          0             
464    -95            N(2600)+b           0         2.6           12                  -1                -1         0             
465    4314           Xic(2645)0          0         2.6461        4                   1                 0          0             
466    -4314          Xic(2645)0b         0         2.6461        4                   -1                0          0             
467    4324           Xic(2645)+          0         2.6466        4                   1                 1          0             
468    -4324          Xic(2645)+b         0         2.6466        4                   -1                -1         0             
469    4332           Omegac0             0         2.6975        2                   1                 0          2             
470    -4332          Omegac0b            0         2.6975        2                   -1                0          -2            
471    1000020030     HE3                 0         2.80839       2                   3                 2          0             
472    -1000020030    HE3b                0         2.80839       2                   -3                -2         0             
473    1000010030     Triton              0         2.80892       2                   3                 1          0             
474    -1000010030    Tritonb             0         2.80892       2                   -3                -1         0             
475    441            etac(1S)0           0         2.9803        1                   0                 0          0             
476    1010010030     HyperTriton         0         2.99114       2                   3                 1          -1            
477    -1010010030    HyperTritonb        0         2.99114       2                   -3                -1         1             
478    443            J/psi(1S)0          0         3.09692       3                   0                 0          0             
479    10441          chic0(1P)0          0         3.41475       1                   0                 0          0             
480    20443          chic1(1P)0          0         3.51066       3                   0                 0          0             
481    4422           Xicc++              0         3.5189        2                   1                 2          0             
482    4412           Xi(cc)+             0         3.5189        2                   1                 1          0             
483    -4422          Xicc++b             0         3.5189        2                   -1                -2         0             
484    -4412          Xi(cc)+b            0         3.5189        2                   -1                -1         0             
485    445            chic2(1P)0          0         3.5562        5                   0                 0          0             
486    100441         etac(2S)0           0         3.637         1                   0                 0          0             
487    100443         psi(2S)0            0         3.68609       3                   0                 0          0             
488    1000020040     Alpha               0         3.72738       1                   4                 2          0             
489    -1000020040    Alphab              0         3.72738       1                   -4                -2         0             
490    1010020040     HyperHelium         0         3.92119       1                   4                 2          -1            
491    -1010020040    HyperHeliumb        0         3.92119       1                   -4                -2         1             
492    1010010040     HyperHydrogen       0         3.9225        1                   4                 1          -1            
493    -1010010040    HyperHydrogenb      0         3.9225        1                   -4                -1         1             
494    100445         chic2(2P)0          0         3.929         5                   0                 0          0             
495    9000443        psi(4040)0          0         4.039         3                   0                 0          0             
496    9010443        psi(4160)0          0         4.153         3                   0                 0          0             
497    9020443        psi(4415)0          0         4.421         3                   0                 0          0             
498    1010020050     HyperHelium5        0         4.8399        2                   5                 2          -1            
499    -1010020050    HyperHelium5b       0         4.8399        2                   -5                -2         1             
500    521            B+                  0         5.27915       1                   0                 1          0             
501    -521           B+b                 0         5.27915       1                   0                 -1         0             
502    513            B*0                 0         5.27953       3                   0                 0          0             
503    523            B*+                 0         5.27953       3                   0                 1          0             
504    511            B0                  0         5.27953       1                   0                 0          0             
505    -523           B*+b                0         5.27953       3                   0                 -1         0             
506    531            Bs0                 0         5.3663        1                   0                 0          -1            
507    533            Bs*0                0         5.3663        3                   0                 0          -1            
508    -533           Bs*0b               0         5.3663        3                   0                 0          1             
509    -531           Bs0b                0         5.3663        1                   0                 0          1             
510    5122           Lambdab0            0         5.6202        2                   1                 0          0             
511    -5122          Lambdab0b           0         5.6202        2                   -1                0          0             
512    5232           Xib-                0         5.7924        2                   1                 -1         -1            
513    5132           Xib0                0         5.7924        2                   1                 0          -1            
514    -5232          Xib-b               0         5.7924        2                   -1                1          1             
515    -5132          Xib0b               0         5.7924        2                   -1                0          1             
516    541            Bc+                 0         6.276         1                   0                 1          0             
517    -541           Bc+b                0         6.276         1                   0                 -1         0             
518    553            Upsilon(1S)0        0         9.4603        3                   0                 0          0             
519    10551          chib0(1P)0          0         9.8594        1                   0                 0          0             
520    20553          chib1(1P)0          0         9.8928        3                   0                 0          0             
521    555            chib2(1P)0          0         9.9122        5                   0                 0          0             
522    100553         Upsilon(2S)0        0         10.0233       3                   0                 0          0             
523    110551         chib0(2P)0          0         10.2325       1                   0                 0          0             
524    120553         chib1(2P)0          0         10.2555       3                   0                 0          0             
525    100555         chib2(2P)0          0         10.2686       5                   0                 0          0             
526    200553         Upsilon(3S)0        0         10.3552       3                   0                 0          0             
527    300553         Upsilon(4S)0        0         10.5794       3                   0                 0          0             
528    9000553        Upsilon(10860)0     0         10.865        3                   0                 0          0             
529    9010553        Upsilon(11020)0     0         11.019        3                   0                 0          0             
---------------------------------------------------------------------------------------------------------------------------------------


                                    #######################################################                                            
                                    #                     Decays data                     #                                            
                                    #          Default File name: data/decays.dat         #                                            
                                    #-----------------------------------------------------#                                            
                                    #         In the table if -1 is given instead         #                                            
                                    #      of name, it means the PDG ID has not been      #                                            
                                    #                 found in the table.                 #                                            
                                    #######################################################                                            

---------------------------------------------------------------------------------------------------------------------------------------
ParentHadron        BranchingRatio(%)   Daughter1      Daughter2      Daughter3      Daughter4      Daughter5                          
---------------------------------------------------------------------------------------------------------------------------------------
f0(600)             
                    100                 pi-b           pi-            

K0                  
                    50                  K0S            
                    50                  K0L            

K0S                 
                    31.4                pi0            pi0            
                    68.6                pi-b           pi-            

K0b                 
                    50                  K0S            
                    50                  K0L            

eta                 
                    32.51               pi0            pi0            pi0            
                    22.6                pi-b           pi-            pi0            
                    4.68                pi-b           pi-            

K0*(800)+           
                    66.7                K0             pi-b           
                    33.3                K+             pi0            

K0*(800)0           
                    66.7                K0             pi-            
                    33.3                K0             pi0            

K0*(800)+b          
                    66.7                K0b            pi-            
                    33.3                K+b            pi0            

K0*(800)0b          
                    66.7                K0b            pi-b           
                    33.3                K0b            pi0            

rho0                
                    100                 pi-b           pi-            

rho+                
                    100                 pi-b           pi0            

rho+b               
                    100                 pi-            pi0            

omega(782)          
                    89.1                pi-b           pi-            pi0            
                    8.7                 pi0            
                    1.7                 pi-b           pi-            

K*(892)+            
                    33.33               K+             pi0            
                    66.67               K0             pi-b           

K*(892)+b           
                    33.33               K+b            pi0            
                    66.67               K0b            pi-            

K*(892)0            
                    33.33               K0             pi0            
                    66.67               K+             pi-            

K*(892)0b           
                    33.33               K0b            pi0            
                    66.67               K+b            pi-b           

eta'(958)           
                    44.3                pi-b           pi-            eta            
                    29.5                rho0           
                    20.9                pi0            pi0            eta            
                    3.03                omega(782)     

f0(980)             
                    66.67               pi-b           pi-            
                    33.33               pi0            pi0            

a0(980)+            
                    100                 eta            pi-b           

a0(980)0            
                    100                 eta            pi0            

a0(980)+b           
                    100                 eta            pi-            

phi(1020)           
                    49.2                K+             K+b            
                    33.7                K0             K0b            
                    15.5                pi-b           pi-            pi0            
                    1.3                 eta            

Lambda              
                    63.9                p              pi-            
                    35.8                n              pi0            

Lambdab             
                    63.9                pb             pi-b           
                    35.8                nb             pi0            

h1(1170)            
                    33.33               rho+           pi-            
                    33.33               rho0           pi0            
                    33.33               rho+b          pi-b           

Sigma+              
                    51.57               p              pi0            
                    48.31               n              pi-b           

Sigma+b             
                    51.57               pb             pi0            
                    48.31               nb             pi-            

Sigma0              
                    100                 Lambda         

Sigma0b             
                    100                 Lambdab        

Sigma-              
                    20                  n              pi-            

Sigma-b             
                    20                  nb             pi-b           

b1(1235)0           
                    100                 omega(782)     pi0            

b1(1235)+           
                    100                 omega(782)     pi-b           

b1(1235)+b          
                    100                 omega(782)     pi-            

a1(1260)+           
                    50                  rho+           pi0            
                    50                  rho0           pi-b           

a1(1260)0           
                    50                  rho+           pi-            
                    50                  rho+b          pi-b           

a1(1260)+b          
                    50                  rho+b          pi0            
                    50                  rho0           pi-            

Delta(1232)-        
                    100                 n              pi-            

Delta(1232)+        
                    33.33               n              pi-b           
                    66.67               p              pi0            

Delta(1232)0        
                    66.67               n              pi0            
                    33.33               p              pi-            

Delta(1232)++       
                    100                 p              pi-b           

Delta(1232)++b      
                    100                 pb             pi-            

Delta(1232)+b       
                    33.33               nb             pi-            
                    66.67               pb             pi0            

Delta(1232)0b       
                    66.67               nb             pi0            
                    33.33               pb             pi-b           

Delta(1232)-b       
                    100                 nb             pi-b           

K1(1270)0           
                    14                  K0             rho0           
                    28                  K+             rho+b          
                    9.33                K0*(1430)0     pi0            
                    18.67               K0*(1430)+     pi-            
                    5.33                K*(892)0       pi0            
                    10.67               K*(892)+       pi-            
                    11                  K0             omega(782)     
                    3                   K0             f0(1370)       

K1(1270)+           
                    14                  K+             rho0           
                    28                  K0             rho+           
                    9.33                K0*(1430)+     pi0            
                    18.67               K0*(1430)0     pi-b           
                    5.33                K*(892)+       pi0            
                    10.67               K*(892)0       pi-b           
                    11                  K+             omega(782)     
                    3                   f0(1370)       K+             

K1(1270)+b          
                    14                  K+b            rho0           
                    28                  K0b            rho+b          
                    9.33                K0*(1430)+b    pi0            
                    18.67               K0*(1430)0b    pi-            
                    5.33                K*(892)+b      pi0            
                    10.67               K*(892)0b      pi-            
                    11                  K+b            omega(782)     
                    3                   f0(1370)       K+b            

K1(1270)0b          
                    14                  K0b            rho0           
                    28                  K+b            rho+           
                    9.33                K0*(1430)0b    pi0            
                    18.67               K0*(1430)+b    pi-b           
                    5.33                K*(892)0b      pi0            
                    10.67               K*(892)+b      pi-b           
                    11                  K0b            omega(782)     
                    3                   K0b            f0(1370)       

f2(1270)            
                    56.47               pi-b           pi-            
                    28.23               pi0            pi0            
                    7.1                 pi-b           pi-            pi0            pi0            
                    2.3                 K+             K+b            
                    2.3                 K0             K0b            
                    2.8                 pi-b           pi-b           pi-            pi-            

f1(1285)            
                    22                  pi0            pi0            pi-b           pi-            
                    11                  pi-b           pi-b           pi-            pi-            
                    11                  pi-b           pi-            rho0           
                    12                  a0(980)+       pi-            
                    12                  a0(980)0       pi0            
                    12                  a0(980)+b      pi-b           
                    10.67               eta            pi-b           pi-            
                    5.33                eta            pi0            pi0            
                    2.25                K+             K+b            pi0            
                    2.25                K+             K0b            pi-            
                    2.25                K0             K+b            pi-b           
                    2.25                K0             K0b            pi0            
                    5.5                 rho0           

eta(1295)           
                    66.67               eta            pi-b           pi-            
                    33.33               eta            pi0            pi0            

pi(1300)+           
                    50                  pi-b           rho0           
                    50                  pi0            rho+           

pi(1300)0           
                    50                  pi-b           rho+b          
                    50                  pi-            rho+           

pi(1300)+b          
                    50                  pi-            rho0           
                    50                  pi0            rho+b          

Ksi0                
                    99.522              Lambda         pi0            

Ksi0b               
                    99.522              Lambdab        pi0            

a2(1320)0           
                    35.05               pi-b           rho+b          
                    35.05               pi-            rho+           
                    14.5                pi0            eta            
                    10.6                omega(782)     pi-b           pi-            
                    2.45                K+             K+b            
                    2.45                K0             K0b            

a2(1320)+           
                    35.05               rho+           pi0            
                    35.05               rho0           pi-b           
                    14.5                pi-b           eta            
                    10.6                omega(782)     pi-b           pi0            
                    4.9                 K+             K0b            

a2(1320)+b          
                    35.05               rho+b          pi0            
                    35.05               rho0           pi-            
                    14.5                pi-            eta            
                    10.6                omega(782)     pi-            pi0            
                    4.9                 K+b            K0             

Ksi-                
                    99.887              Lambda         pi-            

Ksi-b               
                    99.887              Lambdab        pi-b           

f0(1370)            
                    66.67               pi-b           pi-            
                    33.33               pi0            pi0            

pi1(1400)+          
                    50                  eta            pi-b           
                    50                  eta            pi0            

pi1(1400)0          
                    50                  eta            pi-b           
                    50                  eta            pi0            

pi1(1400)+b         
                    50                  eta            pi-            
                    50                  eta            pi0            

Sigma(1385)+        
                    88                  Lambda         pi-b           
                    6                   Sigma+         pi0            
                    6                   Sigma0         pi-b           

Sigma(1385)+b       
                    88                  Lambdab        pi-            
                    6                   Sigma+b        pi0            
                    6                   Sigma0b        pi-            

Sigma(1385)0        
                    88                  Lambda         pi0            
                    6                   Sigma+         pi-            
                    6                   Sigma-         pi-b           

Sigma(1385)0b       
                    88                  Lambdab        pi0            
                    6                   Sigma+b        pi-b           
                    6                   Sigma-b        pi-            

h1(1380)            
                    25                  K*(892)0       K0b            
                    25                  K*(892)0b      K0             
                    25                  K*(892)+       K+b            
                    25                  K*(892)+b      K+             

Sigma(1385)-        
                    88                  Lambda         pi-            
                    6                   Sigma0         pi-            
                    6                   Sigma-         pi0            

Sigma(1385)-b       
                    88                  Lambdab        pi-b           
                    6                   Sigma0b        pi-b           
                    6                   Sigma-b        pi0            

K1(1400)+           
                    62.67               K*(892)0       pi-b           
                    31.33               K*(892)+       pi0            
                    2                   K0             rho+           
                    1                   K+             rho0           
                    2                   K+             f0(1370)       
                    1                   K+             omega(782)     

K1(1400)0           
                    31.33               K*(892)0       pi0            
                    62.67               K*(892)+       pi-            
                    1                   K0             rho0           
                    2                   K+             rho+b          
                    2                   K0             f0(1370)       
                    1                   K0             omega(782)     

K1(1400)+b          
                    62.67               K*(892)0b      pi-            
                    31.33               K*(892)+b      pi0            
                    2                   K0b            rho+b          
                    1                   K+b            rho0           
                    2                   K+b            f0(1370)       
                    1                   K+b            omega(782)     

K1(1400)0b          
                    31.33               K*(892)0b      pi0            
                    62.67               K*(892)+b      pi-b           
                    1                   K0b            rho0           
                    2                   K+b            rho+           
                    2                   K0b            f0(1370)       
                    1                   K0b            omega(782)     

Lambda(1405)        
                    33.33               Sigma+         pi-            
                    33.33               Sigma0         pi0            
                    33.33               Sigma-         pi-b           

Lambda(1405)b       
                    33.33               Sigma+b        pi-b           
                    33.33               Sigma0b        pi0            
                    33.33               Sigma-b        pi-            

K0*(1430)+          
                    62                  K0             pi-b           
                    31                  K+             pi0            

K0*(1430)0          
                    31                  K0             pi0            
                    62                  K+             pi-            

K0*(1430)+b         
                    62                  K0b            pi-            
                    31                  K+b            pi0            

K0*(1430)0b         
                    31                  K0b            pi0            
                    62                  K+b            pi-b           

K*(1410)+           
                    46.67               K*(892)0       pi-b           
                    23.33               K*(892)+       pi0            
                    4.4                 K0             pi-b           
                    2.2                 K+             pi0            
                    2.33                K0             rho+           
                    1.17                K+             rho0           

K*(1410)0           
                    23.33               K*(892)0       pi0            
                    46.67               K*(892)+       pi-            
                    2.2                 K0             pi0            
                    4.4                 K+             pi-            
                    1.17                K0             rho0           
                    2.33                K+             rho+b          

K*(1410)+b          
                    46.67               K*(892)0b      pi-            
                    23.33               K*(892)+b      pi0            
                    4.4                 K0b            pi-            
                    2.2                 K+b            pi0            
                    2.33                K0b            rho+b          
                    1.17                K+b            rho0           

K*(1410)0b          
                    23.33               K*(892)0b      pi0            
                    46.67               K*(892)+b      pi-b           
                    2.2                 K0b            pi0            
                    4.4                 K+b            pi-b           
                    1.17                K0b            rho0           
                    2.33                K+b            rho+           

omega(1420)         
                    33.33               rho+           pi-            
                    33.33               rho0           pi0            
                    33.33               rho+b          pi-b           

K2*(1430)+          
                    33.27               K0             pi-b           
                    16.63               K+             pi0            
                    16.47               K*(892)0       pi-b           
                    8.23                K*(892)+       pi0            
                    4.47                K*(892)0       pi-b           pi0            
                    4.47                K*(892)+       pi-b           pi-            
                    4.47                K*(892)+       pi0            pi0            
                    5.8                 K0             rho+           
                    2.9                 K+             rho0           
                    2.9                 K+             omega(782)     

K2*(1430)+b         
                    33.27               K0b            pi-            
                    16.63               K+b            pi0            
                    16.47               K*(892)0b      pi-            
                    8.23                K*(892)+b      pi0            
                    4.47                K*(892)0b      pi-            pi0            
                    4.47                K*(892)+b      pi-            pi-b           
                    4.47                K*(892)+b      pi0            pi0            
                    5.8                 K0b            rho+b          
                    2.9                 K+b            rho0           
                    2.9                 K+b            omega(782)     

f1(1420)            
                    25                  K+             K*(892)+b      
                    25                  K+b            K*(892)+       
                    25                  K0             K*(892)0b      
                    25                  K0b            K*(892)0       

K2*(1430)0          
                    16.63               K0             pi0            
                    33.27               K+             pi-            
                    8.23                K*(892)0       pi0            
                    16.47               K*(892)+       pi-            
                    4.47                K*(892)+       pi-            pi0            
                    4.47                K*(892)0       pi0            pi0            
                    4.47                K*(892)0       pi-b           pi-            
                    2.9                 K0             rho0           
                    5.8                 K+             rho+b          
                    2.9                 K0             omega(782)     

K2*(1430)0b         
                    16.63               K0b            pi0            
                    33.27               K+b            pi-b           
                    8.23                K*(892)0b      pi0            
                    16.47               K*(892)+b      pi-b           
                    4.47                K*(892)+b      pi-b           pi0            
                    4.47                K*(892)0b      pi0            pi0            
                    4.47                K*(892)0b      pi-            pi-b           
                    2.9                 K0b            rho0           
                    5.8                 K+b            rho+           
                    2.9                 K0b            omega(782)     

eta(1440)           
                    5                   K+             K+b            pi0            
                    5                   K+             K0b            pi-            
                    5                   K0             K0b            pi0            
                    5                   K0             K+b            pi-b           
                    5                   K+             K*(892)+b      
                    5                   K+b            K*(892)+       
                    5                   K0             K*(892)0b      
                    5                   K0b            K*(892)0       
                    13.33               eta            pi-b           pi-            
                    6.67                eta            pi0            pi0            
                    20                  f0(980)        eta            
                    6.67                pi-b           pi-            pi-b           pi-            
                    6.67                pi-b           pi-            pi0            pi0            
