
                                    #######################################################                                            
                                    #                        PDG data                     #                                            
                                    #      Default File name: data/pdg_hadrons.dat        #                                            
                                    #######################################################                                            


---------------------------------------------------------------------------------------------------------------------------------------
ID     PDGID          Name                isStable  mass(in GeV)  Spin Degeneracy     Baryon number(B)  Charge(Q)  Strangeness(S)      
98     100223         omega(1420)         0         1.419         3                   0                 0          0             
99     325            K2*(1430)+          0         1.4256        5                   0                 1          1             
100    -325           K2*(1430)+b         0         1.4256        5                   0                 -1         -1            
101    20333          f1(1420)            0         1.4263        3                   0                 0          0             
102    315            K2*(1430)0          0         1.4324        5                   0                 0          1             
103    -315           K2*(1430)0b         0         1.4324        5                   0                 0          -1            
104    100331         eta(1440)           0         1.435         1                   0                 0          0             
105    12112          N(1440)0            0         1.44          2                   1                 0          0             
106    12212          N(1440)+            0         1.44          2                   1                 1          0             
107    -12212         N(1440)+b           0         1.44          2                   -1                -1         0             
108    -12112         N(1440)0b           0         1.44          2                   -1                0          0             
109    9000225        f2(1430)            0         1.453         5                   0                 0          0             
110    9000315        K2(1580)0           0         1.46          5                   0                 0          1             
111    9000325        K2(1580)+           0         1.46          5                   0                 1          1             
112    -9000325       K2(1580)+b          0         1.46          5                   0                 -1         -1            
113    -9000315       K2(1580)0b          0         1.46          5                   0                 0          -1            
114    100213         rho(1450)+          0         1.465         3                   0                 1          0             
115    100113         rho(1450)0          0         1.465         3                   0                 0          0             
116    -100213        rho(1450)+b         0         1.465         3                   0                 -1         0             
117    10211          a0(1450)+           0         1.474         1                   0                 1          0             
118    10111          a0(1450)0           0         1.474         1                   0                 0          0             
119    -10211         a0(1450)+b          0         1.474         1                   0                 -1         0             
120    9020221        f0(1500)            0         1.507         1                   0                 0          0             
121    9000223        f1(1510)            0         1.518         3                   0                 0          0             
122    3124           Lambda(1520)        0         1.5195        4                   1                 0          -1            
123    -3124          Lambda(1520)b       0         1.5195        4                   -1                0          1             
124    2124           N(1520)+            0         1.52          4                   1                 1          0             
125    1214           N(1520)0            0         1.52          4                   1                 0          0             
126    -2124          N(1520)+b           0         1.52          4                   -1                -1         0             
127    -1214          N(1520)0b           0         1.52          4                   -1                0          0             
128    335            f2'(1525)           0         1.525         5                   0                 0          0             
129    3324           Ksi(1530)0          0         1.5318        4                   1                 0          -2            
130    -3324          Ksi(1530)0b         0         1.5318        4                   -1                0          2             
131    3314           Ksi(1530)-          0         1.535         4                   1                 -1         -2            
132    22212          N(1535)+            0         1.535         2                   1                 1          0             
133    22112          N(1535)0            0         1.535         2                   1                 0          0             
134    -3314          Ksi(1530)-b         0         1.535         4                   -1                1          2             
135    -22212         N(1535)+b           0         1.535         2                   -1                -1         0             
136    -22112         N(1535)0b           0         1.535         2                   -1                0          0             
137    31114          Delta(1600)-        0         1.6           4                   1                 -1         0             
138    32214          Delta(1600)+        0         1.6           4                   1                 1          0             
139    32114          Delta(1600)0        0         1.6           4                   1                 0          0             
140    23122          Lambda(1600)        0         1.6           2                   1                 0          -1            
141    32224          Delta(1600)++       0         1.6           4                   1                 2          0             
142    -32224         Delta(1600)++b      0         1.6           4                   -1                -2         0             
143    -32214         Delta(1600)+b       0         1.6           4                   -1                -1         0             
144    -32114         Delta(1600)0b       0         1.6           4                   -1                0          0             
145    -31114         Delta(1600)-b       0         1.6           4                   -1                1          0             
146    -23122         Lambda(1600)b       0         1.6           2                   -1                0          1             
147    10225          eta2(1645)          0         1.617         5                   0                 0          0             
148    2222           Delta(1620)++       0         1.62          2                   1                 2          0             
149    2122           Delta(1620)+        0         1.62          2                   1                 1          0             
150    1212           Delta(1620)0        0         1.62          2                   1                 0          0             
151    1112           Delta(1620)-        0         1.62          2                   1                 -1         0             
152    -2222          Delta(1620)++b      0         1.62          2                   -1                -2         0             
153    -2122          Delta(1620)+b       0         1.62          2                   -1                -1         0             
154    -1212          Delta(1620)0b       0         1.62          2                   -1                0          0             
155    -1112          Delta(1620)-b       0         1.62          2                   -1                1          0             
156    9020225        f2(1640)            0         1.639         5                   0                 0          0             
157    9020213        a1(1640)+           0         1.647         3                   0                 1          0             
158    9020113        a1(1640)0           0         1.647         3                   0                 0          0             
159    -9020213       a1(1640)+b          0         1.647         3                   0                 -1         0             
160    30223          omega(1650)         0         1.649         3                   0                 0          0             
161    32212          N(1650)+            0         1.65          2                   1                 1          0             
162    32112          N(1650)0            0         1.65          2                   1                 0          0             
163    9000323        K1(1650)+           0         1.65          3                   0                 1          1             
