233
9000221					
2					
0.6666	2	211	-211		
0.3333	2	111	111		
310					
2					
0.308	2	111	111		
0.692	2	211	-211		
221					
4					
0.3268	3	111	111	111	
0.2292	3	211	-211	111	
0.0422	3	211	-211	22	
0.3941	2	22	22		
213					
1					
1	2	211	111		
113					
1					
1	2	211	-211		
223					
3					
0.899	3	211	-211	111	
0.085	2	111	22		
0.016	2	211	-211		
331					
5					
0.429	3	211	-211	221	
0.291	2	113	22		
0.222	3	111	111	221	
0.0275	2	223	22		
0.022	2	22	22		
9010221					
2					
0.6667	2	211	-211		
0.3333	2	111	111		
9000211					
1					
1	2	221	211		
9000111					
1					
1	2	221	111		
333					
4					
0.489	2	321	-321		
0.342	2	311	-311		
0.1532	3	211	-211	111	
0.0131	2	221	22		
10223					
3					
0.3333	2	213	-211		
0.3333	2	113	111		
0.3333	2	-213	211		
10213					
1					
1	2	223	211		
10113					
1					
1	2	223	111		
20213					
2					
0.5	2	213	111		
0.5	2	113	211		
20113					
2					
0.5	2	213	-211		
0.5	2	-213	211		
225					
6					
0.5647	2	211	-211		
0.2823	2	111	111		
0.071	4	211	-211	111	111
0.023	2	321	-321		
0.023	2	311	-311		
0.028	4	211	211	-211	-211
20223					
12					
0.22	4	111	111	211	-211
0.11	3	211	-211	113	
0.12	2	9000211	-211		
0.12	2	9000111	111		
0.12	2	-9000211	211		
0.1067	3	221	211	-211	
0.0533	3	221	111	111	
0.0225	3	321	-321	111	
0.0225	3	321	-311	-211	
0.0225	3	311	-321	211	
0.0225	3	311	-311	111	
0.055	1	113			
100221					
2					
0.6667	3	221	211	-211	
0.3333	3	221	111	111	
100211					
2					
0.5	2	211	113		
0.5	2	111	213		
100111					
2					
0.5	2	211	-213		
0.5	2	-211	213		
215					
5					
0.3505	2	213	111		
0.3505	2	113	211		
0.145	2	211	221		
0.105	3	223	211	111	
0.049	2	321	-311		
115					
6					
0.3505	2	211	-213		
0.3505	2	-211	213		
0.145	2	111	221		
0.105	3	223	211	-211	
0.0245	2	321	-321		
0.0245	2	311	-311		
10221					
2					
0.6667	2	211	-211		
0.3333	2	111	111		
9000213					
1					
1	2	221	211		
9000113					
1					
1	2	221	111		
9020221					
14					
0.05	3	321	-321	111	
0.05	3	321	-311	-211	
0.05	3	311	-311	111	
0.05	3	311	-321	211	
0.05	2	321	-323		
0.05	2	-321	323		
0.05	2	311	-313		
0.05	2	-311	313		
0.1333	3	221	211	-211	
0.0666	3	221	111	111	
0.2	2	9010221	221		
0.0667	4	211	-211	211	-211
0.0667	4	211	-211	111	111
0.0667	4	111	111	111	111
100223					
3					
0.3333	2	213	-211		
0.3333	2	113	111		
0.3333	2	-213	211		
20333					
4					
0.25	2	321	-323		
0.25	2	-321	323		
0.25	2	311	-313		
0.25	2	-311	313		
100113					
1					
1	2	211	-211		
100213					
1					
1	2	211	111		
10211					
3					
0.3333	2	211	221		
0.3333	2	211	331		
0.3334	2	321	-311		
10111					
4					
0.33333	2	111	221		
0.33333	2	111	331		
0.16667	2	321	-321		
0.16667	2	311	-311		
100331					
4					
0.25	3	321	-321	111	
0.25	3	311	-311	111	
0.25	3	321	-311	-211	
0.25	3	-321	311	211	
9030221					
8					
0.02	2	221	331		
0.05	2	221	221		
0.24	4	111	111	111	111
0.24	4	211	-211	211	-211
0.24	2	211	-211		
0.12	2	111	111		
0.045	2	321	-321		
0.045	2	311	-311		
335					
5					
0.444	2	321	-321		
0.444	2	311	-311		
0.103	2	221	221		
0.003	2	111	111		
0.006	2	211	-211		
10225					
10					
0.1	2	115	111		
0.1	2	215	-211		
0.1	2	-215	211		
0.1	2	321	-323		
0.1	2	-321	323		
0.1	2	311	-313		
0.1	2	-311	313		
0.1	2	10111	111		
0.1	2	10211	-211		
0.1	2	-10211	211		
30223					
6					
0.1111	2	213	-211		
0.1111	2	113	111		
0.1111	2	-213	211		
0.2222	3	223	211	-211	
0.1111	3	223	111	111	
0.3333	2	223	221		
9010113					
6					
0.1666	2	213	-211		
0.1666	2	-213	211		
0.1666	2	10213	-211		
0.1666	2	-10213	211		
0.1666	2	331	111		
0.1666	2	20223	111		
9010213					
6					
0.1667	2	113	211		
0.1667	2	213	111		
0.1667	2	10113	211		
0.1667	2	10213	111		
0.1666	2	331	211		
0.1666	2	20223	211		
227					
5					
0.1667	2	213	-211		
0.1667	2	113	111		
0.1667	2	-213	211		
0.1666	3	223	111	111	
0.3333	3	223	211	-211	
10115					
10					
0.535	2	225	111		
0.135	2	211	-213		
0.135	2	-211	213		
0.078	2	9000221	111		
0.057	2	10221	111		
0.01	2	321	-323		
0.01	2	-321	323		
0.01	2	311	-313		
0.01	2	-311	313		
0.02	2	223	113		
10215					
8					
0.535	2	225	211		
0.135	2	211	113		
0.135	2	111	213		
0.078	2	9000221	211		
0.057	2	10221	211		
0.02	2	321	-313		
0.02	2	323	-311		
0.02	2	223	213		
100333					
4					
0.25	2	321	-323		
0.25	2	-321	323		
0.25	2	311	-313		
0.25	2	-311	313		
217					
7					
0.59	4	211	211	-211	111
0.12	2	223	211		
0.237	2	211	111		
0.012	3	321	-321	211	
0.012	3	311	-311	211	
0.012	3	321	-311	111	
0.017	2	321	-311		
117					
9					
0.59	4	111	211	-211	111
0.12	2	223	111		
0.237	2	211	-211		
0.009	3	321	-321	111	
0.009	3	321	-311	-211	
0.009	3	311	-311	111	
0.009	3	311	-321	211	
0.0085	2	321	-321		
0.0085	2	311	-311		
30113					
4					
0.3333	4	211	-211	211	-211
0.3333	3	113	211	-211	
0.1667	3	213	-211	111	
0.1667	3	-213	211	111	
30213					
4					
0.25	3	213	211	-211	
0.25	3	213	111	111	
0.25	3	113	211	111	
0.25	3	-213	211	211	
10331					
5					
0.1667	2	321	-321		
0.1667	2	311	-311		
0.3333	2	221	221		
0.2222	2	211	-211		
0.1111	2	111	111		
200211					
8					
0.11	3	211	111	111	
0.11	3	211	211	-211	
0.21	3	221	221	211	
0.21	3	221	331	211	
0.09	2	10321	-311		
0.09	2	323	-311		
0.09	2	321	-10311		
0.09	2	321	-313		
200111					
12					
0.11	3	211	-211	111	
0.11	3	111	111	111	
0.21	3	221	221	111	
0.21	3	221	331	111	
0.045	2	10321	-321		
0.045	2	10311	-311		
0.045	2	323	-321		
0.045	2	313	-311		
0.045	2	-10321	321		
0.045	2	-323	321		
0.045	2	-10311	311		
0.045	2	-313	311		
337					
6					
0.25	2	321	-321		
0.25	2	311	-311		
0.125	2	321	-323		
0.125	2	-321	323		
0.125	2	311	-313		
0.125	2	-311	313		
20215					
3					
0.5	2	9000211	221		
0.4	2	215	221		
0.1	2	9030221	211		
20115					
3					
0.5	2	9000111	221		
0.4	2	115	221		
0.1	2	9030221	111		
9050225					
6					
0.125	2	321	-321		
0.125	2	311	-311		
0.33	2	211	-211		
0.17	2	111	111		
0.125	2	221	221		
0.125	2	323	-323		
100335					
1					
1	2	333	333		
119					
6					
0.125	2	321	-321		
0.125	2	311	-311		
0.25	3	211	-211	111	
0.25	2	221	111		
0.125	2	331	111		
0.125	2	225	111		
219					
6					
0.25	2	321	-311		
0.125	3	211	-211	211	
0.125	3	211	111	111	
0.25	2	221	211		
0.125	2	331	211		
0.125	2	225	211		
229					
7					
0.1133	2	211	-211		
0.0567	2	111	111		
0.0034	2	321	-321		
0.0034	2	311	-311		
0.0021	2	221	221		
0.006	4	111	111	111	111
0.8151	2	223	223		
200333					
2					
0.5	2	333	9010221		
0.5	3	321	-321	9010221	
9060225					
1					
1	2	333	333		
9070225					
1					
1	2	333	333		
311					
2					
0.5	1	310			
0.5	1	130			
323					
2					
0.3333	2	321	111		
0.6667	2	311	211		
313					
2					
0.3333	2	311	111		
0.6667	2	321	-211		
10313					
8					
0.14	2	311	113		
0.28	2	321	-213		
0.0933	2	10311	111		
0.1867	2	10321	-211		
0.0533	2	313	111		
0.1067	2	323	-211		
0.11	2	311	223		
0.03	2	311	10221		
10323					
8					
0.14	2	321	113		
0.28	2	311	213		
0.0933	2	10321	111		
0.1867	2	10311	211		
0.0533	2	323	111		
0.1067	2	313	211		
0.11	2	321	223		
0.03	2	10221	321		
20313					
6					
0.3133	2	313	111		
0.6267	2	323	-211		
0.01	2	311	113		
0.02	2	321	-213		
0.02	2	311	10221		
0.01	2	311	223		
20323					
6					
0.6267	2	313	211		
0.3133	2	323	111		
0.02	2	311	213		
0.01	2	321	113		
0.02	2	321	10221		
0.01	2	321	223		
10311					
3					
0.31	2	311	111		
0.62	2	321	-211		
0.07	2	311	221		
10321					
2					
0.6667	2	311	211		
0.3333	2	321	111		
100313					
6					
0.2913	2	313	111		
0.5827	2	323	-211		
0.022	2	311	111		
0.044	2	321	-211		
0.02	2	311	113		
0.04	2	321	-213		
100323					
6					
0.5827	2	313	211		
0.2913	2	323	111		
0.044	2	311	211		
0.022	2	321	111		
0.04	2	311	213		
0.02	2	321	113		
325					
10					
0.3327	2	311	211		
0.1663	2	321	111		
0.1647	2	313	211		
0.0823	2	323	111		
0.045	3	313	211	111	
0.045	3	323	211	-211	
0.045	3	323	111	111	
0.06	2	311	213		
0.03	2	321	113		
0.029	2	321	223		
315					
10					
0.1663	2	311	111		
0.3327	2	321	-211		
0.0823	2	313	111		
0.1647	2	323	-211		
0.045	3	323	-211	111	
0.045	3	313	111	111	
0.045	3	313	211	-211	
0.03	2	311	113		
0.06	2	321	-213		
0.029	2	311	223		
30323					
6					
0.258	2	311	211		
0.129	2	321	111		
0.209	2	311	213		
0.105	2	321	113		
0.199	2	313	211		
0.1	2	323	111		
30313					
6					
0.129	2	311	111		
0.258	2	321	-211		
0.105	2	311	113		
0.209	2	321	-213		
0.1	2	313	111		
0.199	2	323	-211		
10325					
2					
0.6667	2	315	211		
0.3333	2	325	111		
10315					
2					
0.3333	2	315	111		
0.6667	2	325	-211		
317					
9					
0.09	2	311	113		
0.18	2	321	-213		
0.0667	2	313	111		
0.1333	2	323	-211		
0.0627	2	311	111		
0.1253	2	321	-211		
0.262	2	311	221		
0.0267	2	315	111		
0.0533	2	325	-211		
327					
9					
0.18	2	311	213		
0.09	2	321	113		
0.1333	2	313	211		
0.0667	2	323	111		
0.1253	2	311	211		
0.0627	2	321	111		
0.262	2	321	221		
0.0533	2	315	211		
0.0267	2	325	111		
20325					
6					
0.1667	2	315	211		
0.0833	2	325	111		
0.1667	2	313	211		
0.0833	2	323	111		
0.25	2	321	225		
0.25	2	321	223		
20315					
6					
0.0833	2	315	111		
0.1667	2	325	-211		
0.0833	2	313	111		
0.1667	2	323	-211		
0.25	2	311	225		
0.25	2	311	223		
319					
17					
0.033	2	311	111		
0.066	2	321	-211		
0.03	3	323	-211	111	
0.03	3	313	111	111	
0.03	3	313	211	-211	
0.0175	4	323	-211	111	111
