432
315	K2*(1430)zer	0	1.4256	5	0	0	1
-315	K2*(1430)zrb	0	1.4256	5	0	0	-1
10321	K0*(1430)plu	0	1.4256	1	0	1	1
-10321	K0*(1430)min	0	1.4256	1	0	-1	-1
10311	K0*(1430)zer	0	1.4256	1	0	0	1
-10311	K0*(1430)zrb	0	1.4256	1	0	0	-1
9000325	K2(1580)plu	0	1.4256	5	0	1	1
-9000325	K2(1580)min	0	1.4256	5	0	-1	-1
9000315	K2(1580)zer	0	1.4256	5	0	0	1
-9000315	K2(1580)zrb	0	1.4256	5	0	0	-1
20333	f1(1420)zer	0	1.4263	3	0	0	0
12212	Ns(1440)plu	0	1.44	2	1	1	0
12112	Ns(1440)zer	0	1.44	2	1	0	0
-12212	Ns(1440)plb	0	1.44	2	-1	-1	0
-12112	Ns(1440)zrb	0	1.44	2	-1	0	0
9000225	f2(1430)zer	0	1.4535	5	0	0	0
100213	rho(1450)plu	0	1.465	3	0	1	0
-100213	rho(1450)min	0	1.465	3	0	-1	0
100113	rho(1450)zer	0	1.465	3	0	0	0
10211	a0(1450)plu	0	1.474	1	0	1	0
-10211	a0(1450)min	0	1.474	1	0	-1	0
10111	a0(1450)zer	0	1.474	1	0	0	0
9020221	f0(1500)zer	0	1.507	1	0	0	0
3124	Lm(1520)zer	0	1.5195	4	1	0	-1
-3124	Lm(1520)zrb	0	1.5195	4	-1	0	1
2124	Ns(1520)plu	0	1.52	4	1	1	0
1214	Ns(1520)zer	0	1.52	4	1	0	0
-2124	Ns(1520)plb	0	1.52	4	-1	-1	0
-1214	Ns(1520)zrb	0	1.52	4	-1	0	0
335	f2'(1525)zer	0	1.525	5	0	0	0
3324	Xi(1530)zer	0	1.5318	4	1	0	-2
-3324	Xi(1530)zrb	0	1.5318	4	-1	0	2
22212	Ns(1535)plu	0	1.535	2	1	1	0
22112	Ns(1535)zer	0	1.535	2	1	0	0
-22212	Ns(1535)plb	0	1.535	2	-1	-1	0
-22112	Ns(1535)zrb	0	1.535	2	-1	0	0
3314	Xi(1530)min	0	1.535	4	1	-1	-2
-3314	Xi(1530)mnb	0	1.535	4	-1	1	2
32224	Dl(1600)plp	0	1.6	4	1	2	0
32214	Dl(1600)plu	0	1.6	4	1	1	0
32114	Dl(1600)zer	0	1.6	4	1	0	0
31114	Dl(1600)min	0	1.6	4	1	-1	0
-32224	Dl(1600)ppb	0	1.6	4	-1	-2	0
-32214	Dl(1600)plb	0	1.6	4	-1	-1	0
-32114	Dl(1600)zrb	0	1.6	4	-1	0	0
-31114	Dl(1600)mnb	0	1.6	4	-1	1	0
23122	Lm(1600)zer	0	1.6	2	1	0	-1
