6
11.5	0.1338	0.00439627	0.328389	0.0107313	-0.0110301	0.00139283	0.0660298	0.00609529
19.6	0.147061	0.000906519	0.197609	0.0019151	-0.00747653	0.000152533	0.0404247	0.000577259
27	0.147265	0.000533589	0.144821	0.00121284	-0.00636088	8.32195e-05	0.0316493	0.000301866
39	0.150359	0.000290472	0.103355	0.000387914	-0.00485698	2.77814e-05	0.0235249	9.86009e-05
62.4	0.1487	9.5411e-05	0.0684309	9.69953e-05	-0.00307072	6.42578e-06	0.0148451	2.26936e-05
200	0.145076	0.000339381	0.0249122	0.000154347	-0.00103063	8.92487e-06	0.00501596	3.16435e-05

\\ sqrt(snn)	T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
