6	9
11.5	0.133817	0.00483427	0.32726	0.012204	-0.0100605	0.000698413	0.0619794	0.0029059
19.6	0.147057	0.00117028	0.197836	0.00253309	-0.00767866	0.000481867	0.0411297	0.00167902
27	0.147273	0.000497902	0.144708	0.000939773	-0.00625765	0.000285398	0.0312963	0.000972738
39	0.150376	0.000625798	0.103016	0.000850856	-0.00455169	0.000150528	0.022517	0.000496696
62.4	0.148697	0.000375648	0.0684687	0.000380643	-0.0031049	0.000133572	0.014958	0.000443015
200	0.145159	0.000864658	0.0249171	0.000370418	-0.0010244	4.51872e-05	0.00498467	0.000153407

\\ sqrt(snn)	T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
