5	9
19.6	0.143289	0.00372979	0.232159	0.0169112	-0.00986447	0.000512665	0.0516322	0.00203981
27	0.146382	0.0037903	0.179659	0.0144699	-0.00797465	0.000397838	0.0401541	0.00153338
39	0.145557	0.00539857	0.131847	0.0120332	-0.00626269	0.000282392	0.0300328	0.00104968
62.4	0.147315	0.00376551	0.0864224	0.00840611	-0.00416199	0.000184385	0.0196642	0.000681601
200	0.13893	0.0694428	0.0290431	0.0946718	-0.00154983	0.00145467	0.00698363	0.00533144

\\ energy	T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
