5	9
19.6	0.159168	0.00459319	0.220662	0.00973243	-0.00615716	0.000755358	0.0449832	0.00251092
27	0.162674	0.0047064	0.167739	0.00712945	-0.0048682	0.000586408	0.0347213	0.00188573
39	0.163768	0.00471748	0.122406	0.0049911	-0.00361613	0.000430403	0.0252686	0.00136273
62.4	0.164604	0.00478985	0.0802088	0.00337769	-0.00240693	0.000276347	0.0165733	0.000870658
200	0.161403	0.00472446	0.0277583	0.00115732	-0.00080067	8.83266e-05	0.00544011	0.000285138

\\ energy	T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
