530
12112             N(1440)0                  0       1.44           2       1       0       0
12212             N(1440)+                  0       1.44           2       1       1       0
-12212            N(1440)+b                 0       1.44           2       -1      -1      0
-12112            N(1440)0b                 0       1.44           2       -1      0       0
9000225           f2(1430)                  0       1.453          5       0       0       0
9000315           K2(1580)0                 0       1.46           5       0       0       1
9000325           K2(1580)+                 0       1.46           5       0       1       1
-9000325          K2(1580)+b                0       1.46           5       0       -1      -1
-9000315          K2(1580)0b                0       1.46           5       0       0       -1
100213            rho(1450)+                0       1.465          3       0       1       0
100113            rho(1450)0                0       1.465          3       0       0       0
-100213           rho(1450)+b               0       1.465          3       0       -1      0
10211             a0(1450)+                 0       1.474          1       0       1       0
10111             a0(1450)0                 0       1.474          1       0       0       0
-10211            a0(1450)+b                0       1.474          1       0       -1      0
9020221           f0(1500)                  0       1.507          1       0       0       0
9000223           f1(1510)                  0       1.518          3       0       0       0
3124              Lambda(1520)              0       1.5195         4       1       0       -1
-3124             Lambda(1520)b             0       1.5195         4       -1      0       1
2124              N(1520)+                  0       1.52           4       1       1       0
1214              N(1520)0                  0       1.52           4       1       0       0
-2124             N(1520)+b                 0       1.52           4       -1      -1      0
-1214             N(1520)0b                 0       1.52           4       -1      0       0
335               f2'(1525)                 0       1.525          5       0       0       0
3324              Ksi(1530)0                0       1.5318         4       1       0       -2
-3324             Ksi(1530)0b               0       1.5318         4       -1      0       2
3314              Ksi(1530)-                0       1.535          4       1       -1      -2
22212             N(1535)+                  0       1.535          2       1       1       0
22112             N(1535)0                  0       1.535          2       1       0       0
-3314             Ksi(1530)-b               0       1.535          4       -1      1       2
-22212            N(1535)+b                 0       1.535          2       -1      -1      0
-22112            N(1535)0b                 0       1.535          2       -1      0       0
31114             Delta(1600)-              0       1.6            4       1       -1      0
32214             Delta(1600)+              0       1.6            4       1       1       0
32114             Delta(1600)0              0       1.6            4       1       0       0
23122             Lambda(1600)              0       1.6            2       1       0       -1
32224             Delta(1600)++             0       1.6            4       1       2       0
-32224            Delta(1600)++b            0       1.6            4       -1      -2      0
-32214            Delta(1600)+b             0       1.6            4       -1      -1      0
-32114            Delta(1600)0b             0       1.6            4       -1      0       0
-31114            Delta(1600)-b             0       1.6            4       -1      1       0
-23122            Lambda(1600)b             0       1.6            2       -1      0       1
10225             eta2(1645)                0       1.617          5       0       0       0
2222              Delta(1620)++             0       1.62           2       1       2       0
2122              Delta(1620)+              0       1.62           2       1       1       0
1212              Delta(1620)0              0       1.62           2       1       0       0
1112              Delta(1620)-              0       1.62           2       1       -1      0
-2222             Delta(1620)++b            0       1.62           2       -1      -2      0
-2122             Delta(1620)+b             0       1.62           2       -1      -1      0
-1212             Delta(1620)0b             0       1.62           2       -1      0       0
-1112             Delta(1620)-b             0       1.62           2       -1      1       0
9020225           f2(1640)                  0       1.639          5       0       0       0
9020213           a1(1640)+                 0       1.647          3       0       1       0
9020113           a1(1640)0                 0       1.647          3       0       0       0
-9020213          a1(1640)+b                0       1.647          3       0       -1      0
30223             omega(1650)               0       1.649          3       0       0       0
32212             N(1650)+                  0       1.65           2       1       1       0
32112             N(1650)0                  0       1.65           2       1       0       0
9000323           K1(1650)+                 0       1.65           3       0       1       1
9000313           K1(1650)0                 0       1.65           3       0       0       1
-9000323          K1(1650)+b                0       1.65           3       0       -1      -1
-9000313          K1(1650)0b                0       1.65           3       0       0       -1
-32212            N(1650)+b                 0       1.65           2       -1      -1      0
-32112            N(1650)0b                 0       1.65           2       -1      0       0
13222             Sigma(1660)+              0       1.66           2       1       1       -1
13212             Sigma(1660)0              0       1.66           2       1       0       -1
13112             Sigma(1660)-              0       1.66           2       1       -1      -1
-13222            Sigma(1660)+b             0       1.66           2       -1      -1      1
-13212            Sigma(1660)0b             0       1.66           2       -1      0       1
-13112            Sigma(1660)-b             0       1.66           2       -1      1       1
9010213           pi1(1600)+                0       1.662          3       0       1       0
9010113           pi1(1600)0                0       1.662          3       0       0       0
-9010213          pi1(1600)+b               0       1.662          3       0       -1      0
227               omega3(1670)              0       1.667          7       0       0       0
13114             Sigma(1670)-              0       1.67           4       1       -1      -1
13224             Sigma(1670)+              0       1.67           4       1       1       -1
13214             Sigma(1670)0              0       1.67           4       1       0       -1
33122             Lambda(1670)              0       1.67           2       1       0       -1
10115             pi2(1670)0                0       1.67           5       0       0       0
10215             pi2(1670)+                0       1.67           5       0       1       0
-33122            Lambda(1670)b             0       1.67           2       -1      0       1
-13224            Sigma(1670)+b             0       1.67           4       -1      -1      1
-13214            Sigma(1670)0b             0       1.67           4       -1      0       1
-13114            Sigma(1670)-b             0       1.67           4       -1      1       1
-10215            pi2(1670)+b               0       1.67           5       0       -1      0
3334              Omega                     1       1.67245        4       1       -1      -3
-3334             Omegab                    1       1.67245        4       -1      1       3
2116              N(1675)0                  0       1.675          6       1       0       0
2216              N(1675)+                  0       1.675          6       1       1       0
-2216             N(1675)+b                 0       1.675          6       -1      -1      0
-2116             N(1675)0b                 0       1.675          6       -1      0       0
12116             N(1680)0                  0       1.68           6       1       0       0
12216             N(1680)+                  0       1.68           6       1       1       0
100333            phi(1680)                 0       1.68           3       0       0       0
-12216            N(1680)+b                 0       1.68           6       -1      -1      0
-12116            N(1680)0b                 0       1.68           6       -1      0       0
23324             Ksi(1690)0                0       1.69           4       1       0       -2
23314             Ksi(1690)-                0       1.69           4       1       -1      -2
13124             Lambda(1690)              0       1.69           4       1       0       -1
-23324            Ksi(1690)0b               0       1.69           4       -1      0       2
-23314            Ksi(1690)-b               0       1.69           4       -1      1       2
-13124            Lambda(1690)b             0       1.69           4       -1      0       1
217               rho3(1690)+               0       1.691          7       0       1       0
117               rho3(1690)0               0       1.691          7       0       0       0
-217              rho3(1690)+b              0       1.691          7       0       -1      0
22124             N(1700)+                  0       1.7            4       1       1       0
12224             Delta(1700)++             0       1.7            4       1       2       0
30113             rho(1700)0                0       1.7            3       0       0       0
30213             rho(1700)+                0       1.7            3       0       1       0
12214             Delta(1700)+              0       1.7            4       1       1       0
12114             Delta(1700)0              0       1.7            4       1       0       0
11114             Delta(1700)-              0       1.7            4       1       -1      0
21214             N(1700)0                  0       1.7            4       1       0       0
-30213            rho(1700)+b               0       1.7            3       0       -1      0
-22124            N(1700)+b                 0       1.7            4       -1      -1      0
-21214            N(1700)0b                 0       1.7            4       -1      0       0
-12224            Delta(1700)++b            0       1.7            4       -1      -2      0
