5	9
0.145856	0.0369355	0.205828	0.0860323	-0.010852	0.00314294	0.0525442	0.023072
0.147394	0.0339734	0.155607	0.0569304	-0.00863455	0.00267916	0.0401887	0.0155844
0.1538	0.0251322	0.122261	0.0316868	-0.00706374	0.0019057	0.0326171	0.009383
0.148425	0.0247155	0.0752397	0.0192094	-0.00443319	0.00117167	0.0197684	0.00532499
0.143626	0.000217582	0.0265697	5.91183e-05	-0.00169205	5.38554e-05	0.00732145	4.86557e-05

\\ T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
