6	9
11.5	0.148381	0.0071006	0.293776	0.0147174	-0.0101642	0.000741472	0.0622512	0.00274439
19.6	0.155871	0.000336127	0.181217	0.000613187	-0.0076978	3.9512e-05	0.041371	0.00012986
27	0.14956	0.00329534	0.140677	0.00563176	-0.00629286	0.000291316	0.0313652	0.000975115
39	0.142051	0.000145811	0.116292	0.000223862	-0.00452625	1.30516e-05	0.0226487	4.44372e-05
62.4	0.156205	0.00373997	0.062081	0.00272933	-0.00314368	0.00014543	0.0150674	0.000460721
200	0.162328	0.000300287	0.0198172	7.09198e-05	-0.00103643	4.62826e-06	0.00503728	1.36879e-05

\\ sqrt(snn)	T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
