5	9
19.6	0.152206	0.00404847	0.203272	0.00677486	-0.00668869	0.000620291	0.0397786	0.00185571
27	0.15125	0.00422272	0.147044	0.00417196	-0.00502924	0.000432991	0.0281744	0.00122322
39	0.144475	0.00459932	0.0976036	0.00345405	-0.00323433	0.000234425	0.0171484	0.000695246
62.4	0.151214	0.00463112	0.0686807	0.00204416	-0.00231804	0.000197528	0.0126459	0.000571076
200	0.161205	0.00426463	0.0273763	0.000883922	-0.000830683	9.33461e-05	0.00514903	0.000259425

\\ energy	T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
