6
11.5	5.55127	0.0366492	0.0183246	0.503508	0.208217	0.174109	1.90761	7.09204	1.30255	11.8146	0.174244	0.0871218	0.321615	0.0291255	0.0610068	2.7137	0.193646	0.337091
19.6	8.95204	0.0255873	0.0127937	0.283159	0.09437	0.0777163	1.30334	3.54197	0.785453	17.9191	0.124656	0.062328	0.204636	0.0113238	0.00967549	2.43159	0.0922055	0.0991678
27	12.7145	0.0299337	0.0149669	0.107052	0.0750091	0.0562664	2.96161	3.09955	1.51754	26.9981	0.217466	0.108733	0.124164	0.00965298	0.00534643	2.70718	0.0839845	0.124916
39	17.4625	0.0263059	0.013153	0.0133622	0.0501263	0.033736	1.59113	2.22224	0.62209	32.6472	0.204098	0.102049	0.103698	0.00674335	0.0388556	2.64718	0.0537805	0.142572
62.4	27.3241	0.0651797	0.0325899	0.145121	0.067052	0.0899881	4.57877	3.34581	2.46885	47.2453	0.62329	0.311645	0.0711058	0.0118494	0.0197959	2.71035	0.0964119	0.316314
200	80.2318	0.210213	0.105106	-0.0188162	0.0477387	0.0409418	2.57939	2.42202	1.84051	99.0916	1.56255	0.781274	0.0392179	0.00761239	0.021385	2.33482	0.0692845	0.244065
																		
// snn	sigma2/M_0to5	sigma2/M_0to5_errstat	sigma2/M_0to5_errsys	ssigma_0to5	ssigma_0to5_errstat	ssigma_0to5_errsys	ksigma2_0to5	ksigma2_0to5_errstat	ksigma2_0to5_errsys	sigma2/M_70to80	sigma2/M_70to80_errstat	sigma2/M_70to80_errsys	ssigma_70to80	ssigma_70to80_errstat	ssigma_70to80_errsys	ksigma2_70to80	ksigma2_70to80_errstat	ksigma2_70to80_errsys
