5	5
19.6	1.0536	1.03723	0.66435	0.68372
27	1.41882	1.25827	0.47207	0.56451
38.9	1.88586	1.66375	0.34966	0.42215
62.4	2.81177	2.35441	0.23533	0.29901
199.7	8.094	6.01051	0.07845	0.11882

\\ energy	chi2/chi1_Kaon	chi2/chi1_qp	chi3/chi2_Kaon	chi3/chi2_qp
