5	9
19.6	0.163206	0.00521449	0.216958	0.00683208	-0.00644368	0.00081349	0.0445313	0.00250888
27	0.166716	0.00511725	0.161832	0.00459608	-0.00517304	0.00064228	0.0341989	0.00189846
39	0.169218	0.00508113	0.114767	0.0033078	-0.00389064	0.000458623	0.0249076	0.00132089
62.4	0.168599	0.00503019	0.0767586	0.00212875	-0.00257751	0.000311757	0.0163122	0.000891661
200	0.165256	0.00478093	0.0280635	0.000888326	-0.000835437	0.000102283	0.00543732	0.000296806

\\ energy	T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
