5	9
19.6	0.147579	0.00339179	0.209757	0.00785723	-0.0109617	0.000261818	0.0536006	0.00190172
27	0.150297	0.00350791	0.160398	0.0059139	-0.00879653	0.000219013	0.0415158	0.00142662
39	0.150837	0.00479251	0.118639	0.00487896	-0.00693277	0.000230893	0.0315675	0.00104465
62.4	0.150589	0.00360551	0.0768955	0.00287673	-0.0045077	0.00011546	0.0202364	0.000636147
200	0.142658	0.00850527	0.0263078	0.00165999	-0.00167338	4.29583e-05	0.00724596	0.000163315

\\ energy	T_ch	T_ch_err	mub_ch	mub_ch_err	muq_ch	muq_ch_err	mus_ch	mus_ch_err
